src,dst,weight
deixa,gente,4.0
este,uma,2.0
ana,john,2.0
de,ex,8.0
brincar,chaves,4.0
nome,veterinário,4.0
ele,sou,4.0
que,seja,10.0
caiu,frango,4.0
do,itália,6.0
cai,mulher,4.0
esse,tv,4.0
mozart,suas,2.0
tomou,um,4.0
por,sozinho,6.0
gosta,ninguém,8.0
ela,triste,4.0
heróis,quais,2.0
mais,uso,4.0
dela,queria,2.0
andam,sem,4.0
kung,se,6.0
bebe,seria,2.0
abriu,nome,4.0
alho,que,4.0
ele,morrer,6.0
esposa,sua,8.0
os,tempo,14.0
do,ponto,8.0
boca,pra,2.0
chamam,nunca,2.0
profissão,única,4.0
fazer,um,26.0
em,sentimento,4.0
comediante,usa,2.0
dá,os,8.0
fora,seus,4.0
eu,sobre,10.0
porque,usada,2.0
cheia,família,4.0
estava,meio,4.0
windows,youtuber,2.0
da,portuguesa,6.0
nome,poeta,2.0
feito,que,4.0
para,seleção,4.0
anda,único,2.0
intestino,ser,2.0
no,seus,4.0
galo,sem,2.0
ai,de,2.0
cima,logo,2.0
pizza,uma,10.0
cansado,está,2.0
john,um,4.0
filme,ninguém,8.0
adotar,sabe,2.0
disse,galvão,2.0
mal,seu,4.0
fogo,por,4.0
melhor,que,58.0
cachorro,dono,2.0
brincar,uma,2.0
começou,qual,12.0
do,marvel,10.0
qual,usa,32.0
do,nenhuma,4.0
bem,carne,4.0
de,leite,4.0
harry,mesmo,4.0
estava,pó,2.0
mil,que,10.0
meus,tio,4.0
deus,favorito,4.0
dos,famosa,2.0
muito,santa,4.0
os,viviam,10.0
devia,que,6.0
gostam,políticos,2.0
cidade,gente,4.0
da,preferida,16.0
mais,meio,6.0
arroz,mais,6.0
do,meio,12.0
só,vê,4.0
atriz,mania,4.0
conta,tempo,4.0
tanto,tempo,4.0
loja,olho,2.0
dar,fotos,4.0
chamava,como,12.0
mesmo,sapato,4.0
não,vaise,4.0
durante,não,2.0
gordo,mata,2.0
pior,três,4.0
espelho,quando,4.0
em,eu,26.0
matemática,queijo,4.0
canal,favorito,6.0
ano,piscina,2.0
elfo,potter,4.0
mesmo,porque,18.0
adoro,pontos,4.0
das,onde,6.0
os,vingadores,2.0
muito,quando,14.0
cry,far,10.0
favorito,jogo,26.0
são,uber,2.0
dele,tu,2.0
abre,cantor,4.0
mais,zeca,2.0
ainda,está,2.0
atriz,desistiu,4.0
careca,do,2.0
mar,peixes,2.0
anos,fez,4.0
crescer,um,2.0
em,pato,2.0
de,do,324.0
feias,há,4.0
já,nós,4.0
por,sapo,4.0
sabor,se,4.0
jogo,que,30.0
chá,toma,4.0
de,filmes,10.0
mosquito,que,6.0
chá,que,30.0
comer,se,10.0
dentista,pediram,6.0
jesus,qual,4.0
aos,vi,2.0
ao,josé,2.0
fosse,personagem,4.0
adora,cantor,12.0
bola,entrou,2.0
ai,as,2.0
em,programa,16.0
dupla,ficou,4.0
mão,qual,4.0
ali,ouvir,4.0
muito,tempo,6.0
bem,como,8.0
acha,quando,4.0
bem,coisas,4.0
data,um,8.0
cavalo,um,14.0
pouco,sou,4.0
entre,qualquer,4.0
agora,só,4.0
forma,pela,4.0
isto,presente,4.0
adão,fazer,4.0
da,ele,28.0
gordo,mas,4.0
primeiro,qual,6.0
dificuldade,favorito,2.0
cabeça,teve,4.0
banho,casal,2.0
jorge,mulheres,2.0
em,nos,12.0
ana,da,2.0
itália,mundo,2.0
feira,pra,4.0
apresentador,cry,2.0
as,bebem,2.0
com,dia,14.0
eva,qual,6.0
ciclista,com,2.0
chão,são,4.0
havia,um,6.0
desistiu,mil,4.0
estar,só,2.0
causa,crianças,4.0
de,nasceu,18.0
quis,sempre,4.0
ponto,tem,2.0
bebe,na,4.0
bom,com,4.0
gosta,pintor,2.0
chá,dos,8.0
nas,não,10.0
do,som,4.0
inseto,vai,2.0
marvel,outro,4.0
enquanto,portugal,2.0
polegar,qual,4.0
mais,portugal,6.0
antes,porque,2.0
acha,tempo,4.0
jardim,num,4.0
ir,pro,6.0
para,trás,2.0
usam,óculos,2.0
em,soares,2.0
cantor,desenho,4.0
nasce,às,4.0
de,poeta,2.0
restaurante,tinha,4.0
também,trabalha,4.0
cabeça,faz,4.0
tem,vários,2.0
qual,the,6.0
massa,porque,2.0
martelo,que,8.0
porque,tom,4.0
bater,diz,2.0
