src,dst,weight
filósofo,todas,4.605605720861887
poeta,sempre,2.4845459653713236
carne,volta,4.528645016957846
bicicleta,em,2.4308582071226614
chocolate,hoje,3.520419467111394
crimes,matar,5.809552727270328
deixa,gente,3.4677758125006495
eu,morte,3.7836282199375413
este,uma,1.390742104359343
ana,john,5.1164207218753655
médico,tinha,3.193647721907935
negro,tudo,4.605605720861887
jorge,qual,0.5769307386591873
forma,relógio,5.404107852766647
menos,qual,1.1830665692383417
chocolate,período,4.135600953458706
lua,pra,4.183614370773237
chá,verde,5.259532363369808
computador,meu,3.5777765380427144
nome,veterinário,2.7875327568924795
brincar,chaves,5.729526362091693
ele,sou,2.822218288795667
gosta,super,2.463192863966154
faz,porta,2.839167834029931
que,seja,1.1803057572433686
famoso,nas,3.6348279073727485
caiu,frango,5.714259102202855
mulher,papa,3.430035538561567
chamam,como,3.697351254391071
gosto,um,0.9217431324381318
alguém,favorita,2.9008605257574116
menos,médicos,5.590885747161072
porta,sílvio,5.141745922972174
do,itália,1.8253425870951938
bola,cheia,4.343239004979958
paciente,quebrou,6.012088759857047
gordo,tempo,4.167352405382248
cai,mulher,3.0245708988328213
leite,sempre,1.63724872884851
fogo,que,0.2640150253696744
construção,onde,2.787532017826233
mc,qual,1.1522948895645242
quando,rico,3.3628969839145197
inglês,paciente,4.556811437652579
esse,tv,5.547207139961671
mozart,suas,5.036379181531752
ele,salvador,2.4655430387965267
por,zero,1.0594468590405957
pequeno,tinha,2.3345149079424146
bebem,que,1.8326309314316742
médico,volta,3.4300341334246753
homens,porque,0.7281785243309551
dele,porta,3.55478546500446
carreira,tony,5.714259102202855
jogador,também,3.1015308533290677
sem,usa,3.0708952531499065
caipira,do,1.5740281274405334
ator,joga,3.3081446383059023
irmão,paulo,3.81261363793541
colocar,rei,4.4485987424122335
tomou,um,1.1448867695434484
herói,peter,4.605601168239851
de,primeira,1.5769268263931238
ela,triste,2.813850045501411
alfaiate,ele,3.2276833969038115
dela,queria,4.123178503716744
heróis,quais,4.779952821057876
mais,uso,1.831772047679038
banheiro,vem,4.854059959401729
ato,roubar,5.809552727270328
rio,todos,3.5323142363594524
andam,sem,4.423284922840289
nada,paga,3.7054470728901023
kung,se,2.6177355095830444
antes,precisa,4.941076642466019
médicos,passar,5.56011039319586
dragon,famoso,5.203430719295026
do,tv,1.7171290893362785
bebe,seria,4.0402912909985185
festa,jogadores,3.8354978363979115
abriu,nome,2.7875327568924795
um,árabe,2.413398110893984
apresentador,filho,2.5014750088319286
alho,que,0.44633657031226365
ana,padaria,4.962272209947619
ele,morrer,3.56415532746458
esposa,sua,4.941079826124329
faz,prédio,2.631527982857633
ai,os,1.593020435229354
do,ponto,1.4198775731085178
depois,vezes,3.9292686679900393
lápis,sabe,4.423284922840289
boca,pra,1.8418094831932001
acontece,água,3.9796694080672625
iogurte,qual,0.17146563055130393
profissão,única,5.809567902435308
em,inglês,2.718540486513149
marca,presidente,4.423284922840289
aí,caiu,5.404107852766647
grupo,musical,3.3585766714854897
um,usava,1.6838832498495289
café,preferida,3.239516296922798
chamam,nunca,2.8408779175379943
comediante,usa,2.9531111273001227
cantor,professor,2.477378025673087
far,mais,1.3899392142042317
mandou,todas,4.200139095210746
anos,nos,3.2758854609364434
cidade,comediante,2.3130745966367123
academia,sempre,3.29547645452818
filme,ventura,2.467898749962544
fulano,vai,3.9769991860035647
mim,vos,5.2987392436179
dum,vai,2.8138492867267537
fora,seus,4.662175807382293
porque,temos,0.8823291727388746
qual,ralph,1.3754384168705875
andam,casa,3.4742052248223185
porque,usada,1.0646506855457842
carro,toca,1.7595382457419368
cheia,família,4.630923412112019
consegue,jornalista,4.710965730671796
cidade,fora,3.257534760193171
perfume,que,0.9571622059292357
branco,mas,2.293073948142462
bem,presente,3.194621078990481
da,portuguesa,2.631528825940834
cheio,chove,4.934101694297965
windows,youtuber,5.991868214062769
nome,poeta,2.2485361329820908
olho,vou,4.269131533114411
com,saiu,2.5195238122310273
come,enquanto,5.116428309544214
chão,pontos,4.561589031491504
anda,único,4.5102918161834475
intestino,ser,2.736888358001654
apareceu,saiu,5.33956047937674
favorito,horas,2.8408779175379943
tartaruga,uma,1.7962073038861326
galo,sem,3.1423527635411044
foi,notícia,2.6455150619783647
ai,de,0.19063242856483284
ben,network,5.655406383180995
pai,série,2.5199370509809427
cima,logo,4.962272209947619
andava,disse,3.444021760745632
depois,namorada,2.5682924709937587
pizza,uma,2.489354539297224
cansado,está,2.8757245935800286
eram,todas,4.7391364631105635
cai,parte,4.0517225438143285
em,professores,2.6131796949370347
apanhou,foi,2.057728112090354
john,um,1.4325687943333785
era,passarinho,2.2638035918475827
polícia,viu,4.086811060279026
aos,minha,3.575989230377286
isso,ou,3.436226086217492
disse,policial,3.0021895173697852
personagem,quis,2.854671218015811
calor,se,1.3368017334157114
adotar,sabe,3.7301377422803554
disse,galvão,2.8686574377260454
bem,trabalha,3.2459154253371745
gosto,windows,5.991868214062769
mal,seu,2.8651432999534356
fogo,por,1.7525940396003676
pássaro,um,0.9217432468263818
país,tem,2.6463204591270943
cantor,tentou,3.5114513189692405
cachorro,dono,4.129370439054555
brincar,uma,1.5730635880182957
bebem,por,1.9349155438838919
se,vir,1.5191232209150807
começou,qual,1.5577599736644998
por,pouco,0.7717648522269359
eles,outros,3.275883855064904
fala,pessoal,4.779952821057876
do,marvel,1.5094897435633607
foi,galo,2.345410422030388
economia,sobre,4.533285376907829
quando,álcool,2.5155992173770914
os,planeta,1.3053384746913907
diretor,falou,4.474578017550848
do,nenhuma,1.2863461098929732
comida,pô,3.6348279073727485
animal,cabeleireiro,3.275883855064904
bem,carne,3.012300817664898
como,dantes,3.1865253552631767
como,pessoal,2.4445882203333964
corpo,está,2.5880435301371483
harry,mesmo,4.072042492594955
elas,todas,3.8518363287055752
pede,qual,1.1159272625422925
estava,pó,2.215013469369083
foi,jackson,1.5469027733103968
mil,que,1.3626273021860347
neymar,preferida,3.527197595115932
nao,qualquer,5.655419390507561
caiu,que,0.9571622059292357
meus,tio,5.9149267319523195
fazendo,pena,4.779952821057876
dono,que,0.10986435400771372
porque,serve,1.1700113185021832
deus,favorito,2.7802541211412075
apresentadora,feito,4.934108017367333
cheio,programa,3.9455005942333683
diz,seja,3.0001785540950494
dos,famosa,1.7931995102132618
comida,pelos,2.9416824512981883
das,pele,3.9850313381195726
doença,te,3.051684108495362
beleza,no,3.3414830319350415
muito,santa,3.8401403138542496
começou,presidente,4.934101694297965
pokémon,preferido,3.3936665896206573
alho,por,1.241768363324091
brasil,cultura,4.976667356869237
do,sabor,0.8808809468807953
movimento,na,2.5324377721778712
esperma,pode,4.423284922840289
própria,qual,1.0469343354937999
gaúcho,tirou,6.502699907830271
os,viviam,3.3847798149262482
falou,galvão,4.186896943484425
série,viu,3.4362275000819236
um,vegan,1.2784181417414573
encontrei,eu,3.495947148067371
celular,dos,1.3513669532432417
mia,se,0.8259762482389935
gostam,políticos,4.465840413503227
cheiro,nome,3.1240046978871105
as,médio,2.869538907907925
quando,verdura,2.8520712287589465
loja,pai,3.352846004252116
fora,todos,4.294452509596277
brasileira,começou,4.934101694297965
bebês,conto,5.714259102202855
costumam,leite,4.779952821057876
patos,por,1.8703771408947374
dá,futuro,3.8171508437547477
bebem,água,5.461265671494737
brasil,ficar,3.436226086217492
atriz,mania,4.3055023087243525
conta,tempo,3.2510634358218318
livros,qual,0.6414692273858111
carta,pode,3.2193136360608166
tanto,tempo,4.678176071025525
ficam,nunca,4.004027791868862
de,mandou,0.19063242856483284
loja,olho,3.9124585403019516
ficam,galvão,6.215025422932196
dar,fotos,4.822517619614492
ela,saiu,3.506996467286669
loiras,que,1.3626273021860347
brasileira,nunca,2.435413329138445
animais,filme,2.7555804645017705
assunção,globo,5.33956047937674
chamava,como,3.6973511014122176
são,órgão,2.6828212106860096
batman,para,2.114058704122903
banheiro,ouvir,5.221779551392377
cobra,toca,3.8636685929245633
encontrar,se,1.8757982836443932
por,quatro,1.3471290190096317
milton,sair,5.58642738618173
brincar,só,3.2318935420219006
ao,turma,2.590706038922353
gasolina,muita,4.431649314892629
fala,já,2.794046689186433
adele,cantora,3.2318923894534817
mesmo,sapato,3.904988818727362
médico,quê,3.2293639489211725
não,vaise,2.1719965187488453
deixou,lado,5.473089162143763
chamase,harry,5.203438996743388
feira,na,3.1610466463478972
durante,não,1.0088458587016933
gordo,mata,4.710960672206706
assim,para,2.2963803362918633
pior,três,5.655419390507561
as,estavam,2.6071751371199468
mandou,mulher,3.0245699620742355
apresentador,silva,4.423281128984275
trabalhadores,trabalhar,5.33956047937674
ele,perdeu,1.6770862627296308
espelho,quando,2.5155992173770914
pescoço,pessoas,4.074979344414821
roubar,um,2.308037493557724
fundo,limpa,6.348553563740938
em,lindo,2.207714586828907
matemática,queijo,4.431653140629602
quer,super,3.1149538463180018
canal,favorito,3.621036900303633
quais,te,3.5036686822356846
gatos,nova,3.738505960069669
ano,piscina,4.123178503716744
história,noite,4.431649314892629
ano,fotos,4.374491326133843
elfo,potter,6.097244916473174
no,pequenas,2.0887202104180065
agora,mas,3.554205537520261
humorista,qual,1.5577599976725836
na,última,2.0624343576798725
campeão,fica,4.533285376907829
filósofo,numa,3.6049750456633007
me,pedi,4.343239004979958
adoro,pontos,5.896577899854969
elas,plantas,5.53026160356073
atriz,professor,2.696066419686918
pressão,tem,2.8598939482490224
dias,diferentes,4.893280205621788
banheiro,coisas,4.52864080156494
chamase,mulher,3.2068922682749808
os,vingadores,1.593020435229354
the,vida,3.1015308533290677
estados,qual,0.864612811110828
animais,porque,0.8823291727388746
quê,tomar,5.203430719295026
caiu,por,1.7525940396003676
amarelo,comida,3.347146697163284
mulher,suas,2.2513810826577854
doente,irmão,4.8734837674974
cry,far,6.7948504218484205
hollywood,mundo,2.5787774824528036
difícil,notícia,5.6089041048515496
algumas,semana,6.348553563740938
favorito,jogo,3.514978226913769
são,uber,2.865142501243318
entrar,mata,4.305498936405763
bola,dos,1.6878390492419497
dele,tu,3.6348279073727485
fazer,usam,4.165742272447342
silêncio,wars,5.404097735913231
muita,tira,4.298118878700978
abre,cantor,2.7005214414917336
duas,john,3.7554554529861055
ainda,está,2.470260023609836
atriz,desistiu,4.3055023087243525
sai,sobremesa,5.4731000016178175
careca,do,0.8808809468807953
mais,zeca,1.1386248671192527
mar,peixes,5.203430719295026
ambos,entre,5.363674224159754
estar,mas,3.4970461514587363
avião,estava,3.1493224793408143
empresa,onde,3.4806791983861474
ar,são,2.3951394710301455
alimento,igreja,5.067638506693783
cantor,vira,2.7005207640142785
crescer,um,0.3339565692147749
de,dono,1.6459196769034783
cão,dá,2.836323142781889
na,quanto,1.5028185186141387
encontrar,vinho,5.067638506693783
sem,trabalha,2.3951394710301455
escola,loiras,4.5102918161834475
disse,tony,3.2433513243614356
paulo,só,1.583235625708218
intestino,porque,0.4768641379425483
mata,medo,4.52864080156494
feias,há,4.68356689319931
esportivo,qualquer,4.5102918161834475
dupla,passa,4.2409639983570715
preferida,wii,5.095812893623275
bahia,não,2.1719965187488453
dentes,professor,4.893280205621788
gonçalves,mais,1.7264113046728493
parede,porque,2.1144728854504837
já,nós,3.8926582339583162
portugal,quando,2.158924048199059
chega,leite,4.1738219445600695
policial,todo,3.4147213249432045
acabou,jogador,3.5069949497390818
caixa,estava,3.937778566237818
decidi,nas,4.423281128984275
por,sapo,1.9349155438838919
paciente,seja,5.473089162143763
sabor,se,2.029948913975525
chá,toma,4.343242507002428
dupla,leonardo,4.240960836807394
conto,porque,0.9693406496988775
de,filmes,1.982391875766787
muito,vale,2.4538470114892825
amor,duas,3.6754148405447378
mosquito,que,0.6694801334775826
china,sal,6.502699907830271
duas,remédio,2.8391670557995363
de,urso,0.8837796091243649
pessoa,wars,4.017821079354
fora,no,1.395573029858185
dentista,pediram,6.215033010543471
como,michel,2.5987388127441573
estar,uma,2.083889284919164
do,mortal,1.6918112180010452
boneco,qual,0.6414692273858111
calendário,outro,3.7095185325034032
bonita,fazem,3.817148774373387
na,nossa,2.350116310827344
adoro,mulheres,4.104829467239968
policial,quando,1.8224523183664663
bem,ouvir,3.299981347892615
ele,medo,2.283222106876073
aos,vi,4.1738219445600695
comprar,dinheiro,4.080879050695714
ao,josé,2.590706038922353
fosse,personagem,3.835499944101028
banheiro,dentro,4.646422783375873
adora,cantor,3.192998234533951
bola,entrou,4.605601168239851
ai,as,1.9940703042589443
dizia,tenho,5.4731000016178175
pouco,uma,1.1030601233263533
banda,fim,3.575989230377286
dupla,ficou,2.8391678340299316
mata,qual,0.4591477090048949
ali,ouvir,5.627248874857907
para,show,2.4017409021997005
falar,teve,3.937778566237818
dentista,fazia,4.710960672206706
mais,material,1.256407867252413
beatles,por,1.9349155438838919
carros,jogo,4.324194378107747
deitou,filme,2.7555804645017705
dança,qual,1.3346164511600431
beatles,dos,3.4795980262914976
